Read_Length,QV,Read_Numbers
11400,75,6
11400,76,4
11400,77,5
11400,78,3
11400,79,5
11400,80,5
11400,81,1
11400,82,5
11400,83,7
11400,84,7
11400,85,5
11400,86,6
11400,87,10
11400,88,16
11400,89,17
11400,90,29
11400,91,24
11400,92,60
11400,93,69
11500,44,2
11500,45,2
11500,46,1
11500,47,4
11500,48,3
11500,49,1
11500,50,3
11500,51,2
11500,52,2
11500,53,2
11500,55,3
11500,56,6
11500,57,5
11500,58,1
11500,59,3
11500,60,1
11500,61,4
11500,62,3
11500,63,2
11500,64,3
11500,65,2
11500,66,5
11500,67,4
11500,69,1
11500,70,2
11500,71,2
11500,72,6
11500,73,2
11500,74,5
11500,75,2
11500,76,6
11500,77,6
11500,78,6
11500,79,4
11500,80,3
11500,81,6
11500,82,7
11500,83,8
11500,84,9
11500,85,11
11500,86,8
11500,87,7
11500,88,18
11500,89,12
11500,90,26
11500,91,38
11500,92,81
11500,93,79
11600,42,2
11600,43,2
11600,44,3
11600,45,3
11600,46,3
11600,47,2
11600,48,1
11600,49,3
11600,50,3
11600,51,5
11600,52,4
11600,53,3
11600,54,4
11600,56,4
11600,57,5
11600,58,5
11600,59,4
11600,60,1
11600,61,6
11600,62,3
11600,63,3
11600,64,4
11600,65,6
11600,66,2
11600,67,3
11600,68,1
11600,69,4
11600,70,1
11600,71,1
11600,72,3
11600,73,5
11600,74,4
11600,75,6
11600,76,4
11600,77,2
11600,78,7
11600,79,4
11600,80,3
11600,81,6
11600,82,2
11600,83,11
11600,84,11
11600,85,10
11600,86,17
11600,87,8
11600,88,18
11600,89,14
11600,90,18
11600,91,31
11600,92,66
11600,93,95
11700,43,2
11700,45,1
11700,46,3
11700,47,3
11700,48,3
11700,49,1
11700,50,5
11700,51,3
11700,52,3
11700,53,4
11700,54,3
11700,55,3
11700,56,4
11700,57,3
11700,58,5
11700,59,3
11700,60,3
11700,61,3
11700,62,10
11700,63,3
11700,64,7
11700,65,5
11700,66,7
11700,67,9
11700,68,5
11700,69,2
11700,70,4
11700,71,2
11700,72,2
11700,73,3
11700,74,7
11700,75,5
11700,76,9
11700,77,3
11700,78,9
11700,79,5
11700,80,8
11700,81,8
11700,82,5
11700,83,9
11700,84,7
11700,85,13
11700,86,14
11700,87,18
11700,88,16
11700,89,26
11700,90,20
11700,91,47
11700,92,86
11700,93,87
11800,39,1
11800,42,2
11800,43,1
11800,44,2
11800,46,4
11800,47,1
11800,48,1
11800,49,3
11800,50,2
11800,51,7
11800,52,5
11800,53,2
11800,54,2
11800,55,2
11800,56,4
11800,57,2
11800,58,4
11800,59,5
11800,60,7
11800,61,5
11800,62,4
11800,63,3
11800,64,4
11800,65,3
11800,66,4
11800,67,4
11800,68,3
11800,69,3
11800,70,8
11800,71,8
11800,72,7
11800,73,5
11800,74,4
11800,75,8
11800,76,3
11800,77,5
11800,78,5
11800,79,5
11800,80,5
11800,81,11
11800,82,7
11800,83,9
11800,84,11
11800,85,9
11800,86,11
11800,87,12
11800,88,15
11800,89,29
11800,90,25
11800,91,52
11800,92,110
11800,93,98
11900,40,1
11900,42,1
11900,43,2
11900,44,2
11900,45,2
11900,46,6
11900,47,4
11900,48,10
11900,49,6
11900,50,2
11900,51,4
11900,52,3
11900,53,3
11900,54,2
11900,55,5
11900,56,1
11900,57,4
11900,58,2
11900,59,4
11900,60,3
11900,61,8
11900,62,2
11900,63,7
11900,64,2
11900,65,4
11900,66,5
11900,67,2
11900,68,6
11900,69,3
11900,70,4
11900,71,2
11900,72,5
11900,73,8
11900,74,4
11900,75,4
11900,76,9
11900,77,5
11900,78,6
11900,79,13
11900,80,14
11900,81,8
11900,82,15
11900,83,15
11900,84,9
11900,85,11
11900,86,7
11900,87,11
11900,88,21
11900,89,25
11900,90,32
11900,91,49
11900,92,133
11900,93,104
12000,42,3
12000,43,1
12000,44,1
12000,45,3
12000,46,3
12000,48,7
12000,49,8
12000,50,4
12000,51,4
12000,52,6
12000,53,9
12000,54,4
12000,55,3
12000,56,6
12000,57,8
12000,58,7
12000,59,9
12000,60,4
12000,61,10
12000,62,7
12000,63,5
12000,64,5
12000,65,10
12000,66,7
12000,67,5
12000,68,6
12000,69,5
12000,70,7
12000,71,6
12000,72,9
12000,73,7
12000,74,9
12000,75,7
12000,76,6
12000,77,7
12000,78,5
12000,79,12
12000,80,8
12000,81,8
12000,82,13
12000,83,16
12000,84,16
12000,85,19
12000,86,25
12000,87,22
12000,88,23
12000,89,30
12000,90,43
12000,91,55
12000,92,147
12000,93,114
12100,41,2
12100,42,3
12100,43,2
12100,44,3
12100,45,6
12100,46,2
12100,47,4
12100,48,5
12100,49,7
12100,50,3
12100,51,4
12100,52,7
12100,53,7
12100,54,4
12100,55,8
12100,56,7
12100,57,3
12100,58,5
12100,60,8
12100,61,9
12100,62,5
12100,63,9
12100,64,10
12100,65,11
12100,66,6
12100,67,5
12100,68,9
12100,69,16
12100,70,11
12100,71,11
12100,72,5
12100,73,9
12100,74,11
12100,75,13
12100,76,10
12100,77,14
12100,78,16
12100,79,7
12100,80,14
12100,81,17
12100,82,11
12100,83,7
12100,84,25
12100,85,15
12100,86,19
12100,87,25
12100,88,38
12100,89,30
12100,90,49
12100,91,77
12100,92,165
12100,93,144
12200,41,2
12200,42,1
12200,44,5
12200,45,7
12200,46,5
12200,47,8
12200,48,7
12200,49,8
12200,50,5
12200,51,7
12200,52,10
12200,53,7
12200,54,5
12200,55,6
12200,56,12
12200,57,9
12200,58,10
12200,59,12
12200,60,5
12200,61,6
12200,62,8
12200,63,6
12200,64,14
12200,65,4
12200,66,11
12200,67,10
12200,68,9
12200,69,8
12200,70,8
12200,71,11
12200,72,10
12200,73,6
12200,74,7
12200,75,17
12200,76,13
12200,77,12
12200,78,7
12200,79,13
12200,80,16
12200,81,18
12200,82,8
12200,83,22
12200,84,18
12200,85,14
12200,86,14
12200,87,25
12200,88,30
12200,89,36
12200,90,58
12200,91,86
12200,92,194
12200,93,172
12300,41,1
12300,43,3
12300,44,7
12300,45,4
12300,46,6
12300,47,4
12300,48,2
12300,49,8
12300,50,7
12300,51,9
12300,52,5
12300,53,5
12300,54,6
12300,55,4
